"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Petrochemical","Blast Proof Office Cabin Rental EDC TA19","SABIC","SADAF","Blast Resistant Modules","Jubail","Supply of blast proof cabins on rental basis for EDC shutdown in Jun- 2019. The number of BRMs required are 11 Nos. Service engineer will be available on call basis for any maintenance and trouble shooting. ","Normal","Completed ","February 2019","April 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","BRM Office Rental for 9 Personnel with Generator","Saudi Chevron","Saudi Chevron","Blast Resistant Modules","Jubail","Supply of  Blast Resistance Modules - 10Psi 200ms (40 X 12 FT) along with 50 KVA Generators.","Normal","Ongoing","February 2019","July 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/27.png"
"Oil & Gas","MFC- Installation 21 CCTV Cameras as SONPD","Saudi Aramco","SONPD","System Integration Solutions","SONPD","The scope of work includes supply, installation, testing and commissioning of 21 CCTV Cameras at SONPD","Normal","Ongoing","February 2019","December 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Removal- Re-Installation of Valves, PSVs, CVs, Sea Water Valves, Sea Water Headers and MISC job ","SABIC","IBN-SINA","Plant Services","Jubail","The SOW includes Blinding & De-blinding of the Equipment’s, Opening & Box up of the Equipment’s, and Torque Tightening of all related flanges which will be opened during TA. The equipment include: 
• SW Headers (Supply & Return) 
• SW valves (59 no.)
• Block valves / Critical Valves (169 no.)
• PSV’s (82 no.) & Control Valves (111 no.)
• Misc. Equipments: Ejector (2 no.), De-Super heater (2 no.), Static Mixer (3 no.), Stack (1 no.), FD Fan (1 no.)
• Corroded Piping & Elbow Replacement (2 no.)","Normal","Completed","February 2019","April 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","Long Term Agreement for All types of Machinery & Fabrication Services to Sahara affiliates (3 Years)","SAHARA","SAHARA","Rotating Equipment & Pump Repair","Jubail","The project scope is to carry out LTA for all types of Machinery and Fabrication services to Sahara Affiliates for a period of three years. It includes Machining Repair, Fabrication Repair and all inspection findings during break down.","Normal","Ongoing","January 2019","January 2022","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/22.png"
"Petrochemical","Scaffolding works at FARABI, Yanbu","Farabi Petrochemicals","NCC","Scaffolding Services","Yanbu","The scope of work includes supervision, manpower, equipment, transportation, Erection and dismantling of scaffolding.","Normal","Completed","January 2019","March 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/28.png"
"Petrochemical","Fabrication of two screw shafts","Tasnee","Tasnee","Rotating Equipment & Pump Repair","Jubail","The scope of work includes fabrication of two secrew shafts.","Normal","Completed","January 2019","February 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/24.png"
"Oil & Gas","MFC for T&I  2019 Flange Bolt Torquing","Saudi Aramco","Berri Gas Plant","Bolt Integrity Solutions","Jubail","The scope of work includes Flanges Bolt Torquing Services for T&I activites at Berri Gas Plant","Normal","Ongoing","January 2019","December 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Mining & Minerals","Supply of Fabrication & Supply of Condenser Coils","MA'ADEN","Ma'aden Phosphate","Heat Exchanger Maintenance Services","Ras Al-Khair","Supply of Fabrication & Supply of Condenser Coils","Normal","Completed","December 2018","February 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Petrochemical","LSTK services for  Mixed Gas Project","SABIC","SADAF","Plant Services","Jubail","The project scope of work includes Engineering, supply, Construction and Commissioning for Mixed Gas Project. 
Design and Detailed Engineering. Procurement of material (piping, valves, civil and E&I). Piping fabrication and erection (including demolition and tie-in scope). Scaffolding erection and dismantling. Fabrication and erection of pipe supports (including civil foundations). Modification works for Vessel (43V3). Dismantling and reinstallation of Pressure transmitter. Supply and installation of new DP type flow transmitter with flow element. Supply and installation of secondary cable from new FT to existing JB (43XTB10 having spare terminals). Supply and installation of GI conduit and SS air tubing for newly install FT. Loop checking. DCS configuration.","Normal","Ongoing","December 2018","August 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Oil & Gas","Scaffolding Services for Yanbu Terminal (Long-Form Contract)","Saudi Aramco","YANBU TERMINAL","Scaffolding Services","Yanbu","
The scope of work includes supervision, manpower, equipment, transportation, offices, catering and accommodation, materials. The services required to transport, erect, disassemble scaffolding and the onshore and offshore facilities at Western Region Terminal Department facilities at Yanbu North Terminal, Yanbu South Terminal, Rabigh Area and Jeddah Terminal.  ","Major","Ongoing","November 2018","Novmeber 2023","#VALUE!","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Manpower Requirement during TA 2019","SABIC","IBN RUSHD ","Plant Services","Yanbu","The scope of work includes supply of manpower for TA 2019 for IBN RUSHD.","Normal","Ongoing","November 2018","June 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/9.png"
"Oil & Gas","Grease for ZV-120/ZV-125 @ FGC (Maintenance of Valves)","Saudi Aramco","Shedgum Gas Plant","Valve Repair & Testing Services","Shedgum ","The scope of work includes to apply HP grease to stop the passing issue for the ZV-120 at FGC. Online sealant injection to arrest seat leakages of Pipeline valves.","Normal","Completed","November 2018","December 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Fire Alarm System Upgrades at Khurais ESP Substations","Saudi Aramco","Khurais Aramco","System Integration Solutions","Khurais","The scope of work includes, assessment of existing fire alarm system, design, installation, testing and commissioning of fire alarm system upgrade at ESP substations buildings. Detail design of proposed upgrades, which includes design reports, construction specifications and updating existing drawings. Installation of fire alarm system upgrades as per construction specification, testing, commissioning and provide training to asset owner’s representatives. Upgrade of software/firmware in the existing SIEMENS fire alarm control panel.","Normal","Ongoing","November 2018","August 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","AMC for Emergency Support Elect'18","SABIC","Gas Yanbu","Electrical Maintenance, Testing & Commissioning Services","Yanbu","The scope of work includes Technical support, service Engineer or Testing Engineer during the trouble in the GAS Yanbu plant for one year.","Normal","Ongoing","November 2018","November 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","22E11C; Styrene I Heat Exchanger Installation","SABIC / SADAF ","Godrej & Boyce","Plant Services","Jubail","The scope of work includes replacement of Heat Exchanger. Final Site measurement for nozzles arrangement to the new Vessel nozzle arrangement with existing piping system. Isolation/ de-bolting and blinding off all connecting nozzles, instrument connections. Dismantling and removal of existing Channel covers and adjoining piping spools connected to the exchanger nozzles. Scaffolding, hydro test, Clean / hydro blast the shell.","Normal","Ongoing","Oct-18","Feb-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Oil & Gas","Flanges Bolt Torquing Services in Jazan","Saudi Aramco","DAEAH E&C","Bolt Integrity Solutions","Jazan","Flanges Bolt Torquing Services for Jizan Refinery Project","Normal","Completed","October 2018","Nov-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Transportation & Infrastructure","Supply of Bolt Torqueing Technician woy-out Torqueing tools","Tamimi Industrial Services","Tamimi Industrial Services","Bolt Integrity Solutions","Jubail","Supply of Bolt Torqueing Technician woy-out Torqueing tools","Normal","Ongoing","October 2018","October 2020","Jul-05","",""
"Oil & Gas","2018/2019 RTR T&Is Supply of Blast Proof Cabin","Saudi Aramco","Ras Tanura","Blast Resistant Modules","Ras Tanura","Supply of Blast Resistance Modules - 10Psi 200ms","Normal","Ongoing","October 2018","October 2021","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Requirement of Blast Proof Portable for Aramco Ras-Tanurah RTR Plant 488 T&I","Saudi Aramco","Seyana","Blast Resistant Modules","Ras Tanura","Supply of Blast Resistance Modules - 10Psi 200ms","Normal","Completed","October 2018","November 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Scaffolding Requirements in 8 tanks Jazan","Saudi Aramco","Petrofac","Scaffolding Services","Jazan","Scope of work includes hanging scaffolding services for 8 Tanks in EPC-4 North Tank Farm Area at Jizan Refinery Project","Normal","Completed","October 2018","February 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Provide service to repair and balancing of the old Turbine rotor for ST-1231","SAHARA","SAHARA","Rotating Equipment & Pump Repair","Jubail","Scope of work includes
Collect the rotor from Al Waha plant-Jubail. Unload the rotor to a weather protected area. Cleaning of rotor 
Perform complete dimensional measurements checks of coupling hub area, Bearing DE ,NDE area  and Carbon ring DE, NDE packing area. Check the rotor run out.  Perform Dye penetrant test.(DPT) . Perform dynamic balancing for rotor (G 2.5)","Normal","Completed","October 2018","February 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/22.png"
"Oil & Gas","Flange Re-Facing Work in Khurais Aramco","Saudi Aramco","NCC","Bolt Integrity Solutions","Khurais ","Scope of work includes Flange serration  re-facing for 12"" Class 300# WNRF at SENDAN workshop.","Normal","Completed","October 2018","November 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Mining & Minerals","Scaffolding Services at Maaden GTC Area","Ma'aden Aluminum ","K. A. Khonaini Co","Scaffolding Services","Ras Al-Khair","Scope of work includes scaffolding services including supplying, erecting, renting and dismantling at  Ma'aden Aluminium plant","Normal","Completed","September 2018","December 2018","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/18.png"
"Petrochemical","Control System Upgrade project at Yanpet Line 1 & 2 ","SABIC / YANPET","Coperion","System Integration Solutions","Yanbu","The scope of work includes supply of Manpower, Tool,  Construction Material, Consumable, Execution & Documentation.  Interfacing with existing systems (if any) is subjected to the examination of the site and any equipment required for integration. Electrical works including power distribution activities.","Normal","Completed","September 2018","October 2018","Jul-05","",""
